"","Title","JournalSource","Year...5","Abstract","DOI","URL","NewLatitude","NewLongitude","RelevantSpecies"
"11","AGE AND SIZE AT SEXUAL MATURITY OF HEAVILY EXPLOITED ARCTIC CHAR AND BROWN TROUT IN LAKE ATNSJO, SOUTHEASTERN NORWAY","TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY",1991,"In Lake Atnsjo, southeastern Norway, Arctic char Salvelinus alpinus and brown trout Salmo trutta both attained sexual maturity mainly at 6 years of age and older, usually at a body length larger than 26 cm. Both species have been heavily exploited at least since the turn of the century. The annual survival rate was estimated at 0.38 for Arctic char (age-groups 6-9) and 0.49 for brown trout (age-groups 4-9). Mean female age at maturity was higher than the optimal age at maturity predicted if female reproductive success only depended on fecundity. We argue that reproductive advantages of larger parental body size, due to high competitive ability during spawning, favored late female maturation and also limited the selective effect by the fishery for earlier maturation.","10.1577/1548-8659(1991)120<0141:AASASM>2.3.CO;2",NA,"61.875264","10.177700","Salvelinus alpinus"
"12","An atypical brook charr (Salvelinus fontinalis) spawning area","Environmental Biology of Fishes",1982,"Brook charr (Salvelinus fontinalis) spawned successfully on a 0.3 m thick aggregation of waterlogged sticks, woodchips and debris overlying the soft ooze bottom of a small Precambrian Shield lake. Brook charr were apparently attracted to groundwater seeping up through the aggregation and utilized the tangle of various sized sticks as a spawning substrate. Eggs were deposited in late October and alevins emerged from the area in late March, periods that coincide with the conventional spawning of native brook charr on gravel areas in nearby lakes. Our observations support the contention that upwellin, water is more important than bottom type in stimulating brook charr to select a spawning site.","10.1007/bf00005574","https://lens.org/083-006-621-559-594","45.659587","-78.053856","Salvelinus fontinalis"
"13","An evaluation of lake trout reproductive habitat on Clay Banks Reef, northwestern Lake Michigan","Journal of Great Lakes Research",1995,"The extinction of the native populations of lake trout (Salvelinus namaycush) in Lake
Michigan in about 1956 has been followed by a decades-long attempt to reestablish self-sustaining populations
of this valuable species in habitats it formerly occupied throughout the lake. One of the most
recent management strategies designed to facilitate recovery was to make a primary management objective
the establishment of sanctuaries where stocked lake trout could be protected and self-sustaining populations
reestablished. In the present study we employed habitat survey and mapping techniques, field
and laboratory bioassays, egg traps, sediment traps, and gill nets to examine the potential for successful
natural reproduction by stocked lake trout on Clay Banks Reef in the Door-Kewaunee sanctuary in Wisconsin
waters of Lake Michigan. Our study revealed (1) there was suitable habitat on the reef to support
the production of viable fry, (2) spawner abundance on the reef was the highest recorded in the Great
Lakes, and (3) eggs taken from spawners on the reef and held on the reef in Plexiglas incubators !latched
and produced fry that survived through swim-up. We conclude that Clay Banks Reef has the polential to
support successful natural reproduction by stocked lake trout.","10.1016/S0380-1330(95)71114-5","https://doi.org/10.1016/S0380-1330(95)71114-5","43.85545","-87.08198","Salvelinus namaycush"
"14","An experimental approach to estimating vulnerability of European whitefish (Coregonus lavaretus) ova to predation by invasive ruffe (Gymnocephalus cernuus)","ECOLOGY OF FRESHWATER FISH",2011,"The complexity of substrate covering spawning grounds of Coregonus lavaretus is assumed to have a role in the protection of incubating ova from predation. It is believed that the Loch Lomond population of C. lavaretus is adversely affected by invasive ruffe (Gymnocephalus cernuus) predation on eggs. To discover the protective ability of substrate commonly found on whitefish spawning grounds, predation experiments of ruffe on artificial eggs were conducted. These were presented to ruffe over different substrates: sand, gravel, pebbles and cobbles. It was found that the greatest protection was provided by pebbles and gravel. Eggs are exposed on sand, but are protected by small gaps between pebbles and gravel, while in cobbles the gaps between substrate particles are large enough to sometimes allow ruffe to foraging within the substrate. Using these results, a comparison between the potential protective ability of substrates of spawning grounds in four Scottish whitefish sites was attempted.","10.1111/j.1600-0633.2011.00496.x",NA,"56.031222","-4.101879","Coregonus lavaretus"
"15","An experimental approach to estimating vulnerability of European whitefish (Coregonus lavaretus) ova to predation by invasive ruffe (Gymnocephalus cernuus)","ECOLOGY OF FRESHWATER FISH",2011,"The complexity of substrate covering spawning grounds of Coregonus lavaretus is assumed to have a role in the protection of incubating ova from predation. It is believed that the Loch Lomond population of C. lavaretus is adversely affected by invasive ruffe (Gymnocephalus cernuus) predation on eggs. To discover the protective ability of substrate commonly found on whitefish spawning grounds, predation experiments of ruffe on artificial eggs were conducted. These were presented to ruffe over different substrates: sand, gravel, pebbles and cobbles. It was found that the greatest protection was provided by pebbles and gravel. Eggs are exposed on sand, but are protected by small gaps between pebbles and gravel, while in cobbles the gaps between substrate particles are large enough to sometimes allow ruffe to foraging within the substrate. Using these results, a comparison between the potential protective ability of substrates of spawning grounds in four Scottish whitefish sites was attempted.","10.1111/j.1600-0633.2011.00496.x",NA,"56.084187","-4.994160","Coregonus lavaretus"
"16","An experimental approach to estimating vulnerability of European whitefish (Coregonus lavaretus) ova to predation by invasive ruffe (Gymnocephalus cernuus)","ECOLOGY OF FRESHWATER FISH",2011,"The complexity of substrate covering spawning grounds of Coregonus lavaretus is assumed to have a role in the protection of incubating ova from predation. It is believed that the Loch Lomond population of C. lavaretus is adversely affected by invasive ruffe (Gymnocephalus cernuus) predation on eggs. To discover the protective ability of substrate commonly found on whitefish spawning grounds, predation experiments of ruffe on artificial eggs were conducted. These were presented to ruffe over different substrates: sand, gravel, pebbles and cobbles. It was found that the greatest protection was provided by pebbles and gravel. Eggs are exposed on sand, but are protected by small gaps between pebbles and gravel, while in cobbles the gaps between substrate particles are large enough to sometimes allow ruffe to foraging within the substrate. Using these results, a comparison between the potential protective ability of substrates of spawning grounds in four Scottish whitefish sites was attempted.","10.1111/j.1600-0633.2011.00496.x",NA,"56.152500","-4.656101","Coregonus lavaretus"
"17","An experimental approach to estimating vulnerability of European whitefish (Coregonus lavaretus) ova to predation by invasive ruffe (Gymnocephalus cernuus)","ECOLOGY OF FRESHWATER FISH",2011,"The complexity of substrate covering spawning grounds of Coregonus lavaretus is assumed to have a role in the protection of incubating ova from predation. It is believed that the Loch Lomond population of C. lavaretus is adversely affected by invasive ruffe (Gymnocephalus cernuus) predation on eggs. To discover the protective ability of substrate commonly found on whitefish spawning grounds, predation experiments of ruffe on artificial eggs were conducted. These were presented to ruffe over different substrates: sand, gravel, pebbles and cobbles. It was found that the greatest protection was provided by pebbles and gravel. Eggs are exposed on sand, but are protected by small gaps between pebbles and gravel, while in cobbles the gaps between substrate particles are large enough to sometimes allow ruffe to foraging within the substrate. Using these results, a comparison between the potential protective ability of substrates of spawning grounds in four Scottish whitefish sites was attempted.","10.1111/j.1600-0633.2011.00496.x",NA,"56.271344","-4.776381","Coregonus lavaretus"
"18","An inexpensive modified emergent-fry trap for lake-spawning salmonids","NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT",2002,"Emergent-fry traps, designed for sampling salmonid fry, have been particularly valuable for evaluating the reproductive success of stocked lake trout Salvelinus namaycush in the Great Lakes. Traditional fry traps are constructed with a welded iron base and riveted walls and are therefore heavy and bulky as well as expensive. We describe an inexpensive new design with a semi-rigid base and soft, fabric walls that requires few specialized tools for construction. The soft design and light weight of the traps allow for easy stacking and transport. The weight can also be adjusted to suit sampling requirements. We deployed 15 rigid and 14 soft fry traps at two sites in Lake Champlain, Vermont and New York. Of the 286 fry collected, 187 were collected in rigid traps and 99 in soft traps. The numbers of fry collected per unit effort did not differ significantly between rigid and soft traps at either site. At one site, significantly greater numbers of soft traps than rigid traps contained fry (chi-square test, P < 0.0005). The new fry trap design provides a convenient, inexpensive method for determining locations of salmonid hatch and for estimating relative fry production.","10.1577/1548-8675(2002)022<1321:AIMEFT>2.0.CO;2",NA,"44.33413","-73.31610","Salvelinus namaycush"
"19","Arctic charr (Salvelinus alpinus) squeezed in a complex fish community dominated by perch (Perca fluviatilis)","Fauna norvegica",2013,"In the complex fish community of Lake Skasen, southeastern Norway, the relative population density, habitat use and diet of Arctic charr, perch, roach and burbot was studied by a gill net survey during June-September 2010. A marked segregation in habitat use was observed, with Arctic charr and burbot captured in the profundal and deepest part of the pelagic habitat, and perch and roach captured in the littoral and upper part of the pelagic. Perch dominated the total catches, followed by roach. Arctic charr occurred in low numbers in the catches, and also had a low annual growth rate. Even in June, at low water temperatures, Arctic charr were confined to the profundal. Both Arctic charr, roach and perch fed on the same cladocerans, but all size groups of perch had fish as an important part of the diet. Analysis of stable carbon and nitrogen isotopes revealed a narrow trophic niche of Arctic charr, positioned at the extreme pelagic end of the carbon gradient relative to the other fish species. These had a wider span of Î´13C signatures, but more positioned towards the littoral end of the carbon gradient. The low growth rate of Arctic charr, despite a low population density, indicates that food is a limiting resource for charr in this lake, probably due to a confinement to the profundal habitat as a result of competition and predator avoidance. Since all age-classes of Arctic charr seem to be enclosed in the profundal habitat, intraspecific competition and predation may be supplementary stressors resulting in low annual recruitment and low population density, as well as low individual growth rate, i.e. the population is squeezed. The narrow trophic niche of Arctic charr compared to perch, roach and burbot, revealed by stable isostope analysis, supports this conclusion.","10.5324/fn.v33i0.1579","https://lens.org/074-457-158-116-13X","60.394853","12.314228","Salvelinus alpinus"
"20","ASSESSMENT OF LAKE TROUT SPAWNING - EVALUATION OF TRAPS FOR MEASUREMENT OF EGG ABUNDANCE","JOURNAL OF GREAT LAKES RESEARCH",1994,"Biologists in the Great Lakes have used circular egg traps to study lake trout (Salvelinus namaycush) reproduction for the past several years; however, interpretation of egg trap data beyond the presence or absence of eggs has been speculative. The main objective of this study was to determine if trap data could be used to index egg abundance in spawning substrate. In 1990 and 1992 the number of eggs captured in traps on a reef in Lake Ontario was compared to the egg abundance in cobble substrate adjacent to each trap. Linear regression models indicated that the relationship between eggs captured in traps and egg abundance varied significantly, both among depth transects within years and between years (P < 0.05). However, within a given year, egg capture in traps generally increased as egg abundance increased. Wind-induced waves and water currents probably affected the proportion of eggs that were dislodged from the substrate and drifted into traps or off the reef and caused much of the variation observed in the eggs . trap-1-egg abundance relationship. Different substrate size and interstitial depth may also explain some of the within year variation among trap sites. Trap data should not be used to compare egg abundance among different Great Lakes spawning areas unless data interpretation includes sources of variation such as water currents and substrate type. Comparison of trap data among years for the same spawning area should only be made among years with similar water currents. PU - INT ASSOC GREAT LAKES RES PI - ANN ARBOR PA - 2200 BONISTEEL BLVD, ANN ARBOR, MI 48109-2099","10.1016/S0380-1330(94)71156-4",NA,"43.652042","-77.732648","Salvelinus namaycush"
"21","Assessment of long-term changes in habitat availability for Arctic charr (Salvelinus alpinus) in a temperate lake using oxygen profiles and hydroacoustic surveys","Freshwater Biology",2007,"1. Hydroacoustics (2002â€“04) and long-term oxygen data (1969â€“2004) have been used in conjunction to examine the habitat of Arctic charr in the north and south basins of Windermere, U.K., a temperate lake subjected to cultural eutrophication and subsequent nutrient management. 2. Since 1969 there has been a gradual decline in the oxygen concentration in the bottom waters of both basins of 0.03â€“0.04 mg Lâˆ’1yearâˆ’1, resulting in up to 43% of the volume of the south basin having an oxygen concentration <5 mg Lâˆ’1 in the early autumn. 3. Hydroacoustic data indicate that most Arctic charr routinely avoid the upper 10 m of the water column irrespective of temperature, with the implication that an observed gradual warming of the lake has not yet directly impacted upon their habitat. 4. In recent years there has been a behavioural response of the Arctic charr population to migrate vertically to avoid oxygen concentrations <2.3â€“3.1 mg Lâˆ’1. Further, the depth of the lower bound of the Arctic charr population is shown to be highly correlated with the deep water oxygen concentration throughout the year prior to autumnal overturn","10.1111/j.1365-2427.2007.01902.x",NA,"54.335043","-2.942201","Salvelinus alpinus"
"22","Assessment of the feasibility of preventing reproduction of lake charr, Salvelinus namaycush, in shallow areas of reservoirs affected by drawdowns","ENVIRONMENTAL BIOLOGY OF FISHES",2002,"Lake charr, Salvelinus namaycush, spawn almost exclusively in lakes, in the fall. Spawning sites in inland lakes are generally located close to the shore in areas with coarse-textured substrate, and in depths of less than 2 m. Because of the type of water management system applied in reservoirs where water levels are lowered during the winter, eggs deposited during the fall around the shallow shoreline of reservoirs can be exposed. The depth of spawning sites relative to drawdowns may be a limiting factor for lake charr survival in reservoirs. In 1995 and 1996, we evaluated the ability to induce lake charr reproduction in deeper water, below the range of fluctuating water levels by the sequential construction of artificial reefs and limiting access to natural spawning habitat. The creation of artificial deeper water spawning areas, adjacent to natural sites, produced a partial transfer of reproduction. However when natural spawning sites were covered with tarpaulins almost all the eggs were laid in the artificial deeper water spawning areas. Complete or partial transfer of reproduction activities to sites below the depth not affected by water level fluctuations is therefore a potential way of alleviating the effects of hydroelectric reservoir management.","10.1007/978-94-017-1352-8_28","https://lens.org/034-697-805-424-625","46.8588","-72.3986","Salvelinus namaycush"
"23","Availability of lake trout reproductive habitat in the Great Lakes","JOURNAL OF GREAT LAKES RESEARCH",1995,"A decades-long program to reestablish self-sustaining stocks of lake trout (Salvelinus namaycush) in the four lower Great Lakes produced excellent fisheries supported by stocked fish. These fish spawned widely and small numbers of their offspring were collected intermittently from Lakes Michigan, Huron, and Ontario, but no self-sustaining stocks were established. Irt this paper we address habitat sufficiency as a factor in the failure of stocked lake trout to established self-sustaining populations in the four lower Great Lakes. We present the previously unpublished results of lake trout spawning habitat surveys conducted at seven sites in the Great Lakes since 1987 and we compare them with the published results of similar surveys conducted at 24 other sites in the four lower lakes since 1981. Our evaluation indicates all but two of these sites can support the production of viable fry from spawnings by the shallow-water strains of lake trout that are stocked in the Great Lakes. However, some of the best spawning, egg, and fry habitat in the lower Great Lakes seems to be at deeper offshore sites that may be unattractive to these shallow-water strains. Thus, we suggest also stocking the lower four lakes with strains from Lake Superior that might more fully exploit the best spawning habitat at these deeper, offshore sites. PU - INT ASSOC GREAT LAKES RES PI - ANN ARBOR PA - 2200 BONISTEEL BLVD, ANN ARBOR, MI 48109-2099","10.1016/S0380-1330(95)71103-0",NA,"42.233753","-81.07358","Salvelinus namaycush"
